Training project, TP, FN, FP, TN, P, R, F1, ER, RI
ArgoUML, 29, 73, 39, 2911, 0.426, 0.284, 0.341, 0.922, 11.761
Columba, 21, 81, 6, 2944, 0.778, 0.206, 0.326, 0.957, 22.272
EMF, 17, 85, 11, 2939, 0.607, 0.167, 0.262, 0.945, 17.167
Hibernate, 36, 66, 47, 2903, 0.434, 0.353, 0.389, 0.923, 11.978
JEdit, 31, 71, 51, 2899, 0.378, 0.304, 0.337, 0.912, 10.312
JFreeChart, 29, 73, 51, 2899, 0.363, 0.284, 0.319, 0.908, 9.847
JMeter, 25, 77, 17, 2933, 0.595, 0.245, 0.347, 0.944, 16.810
JRuby, 35, 67, 15, 2935, 0.700, 0.343, 0.461, 0.952, 19.945
SQuirrel, 20, 82, 14, 2936, 0.588, 0.196, 0.294, 0.943, 16.601
Dubbo, 13, 89, 15, 2935, 0.464, 0.127, 0.200, 0.928, 12.892
Gradle, 16, 86, 22, 2928, 0.421, 0.157, 0.229, 0.921, 11.599
Groovy, 20, 82, 9, 2941, 0.690, 0.196, 0.305, 0.952, 19.636
Hive, 26, 76, 19, 2931, 0.578, 0.255, 0.354, 0.942, 16.288
Maven, 30, 72, 45, 2905, 0.400, 0.294, 0.339, 0.916, 10.969
Poi, 25, 77, 17, 2933, 0.595, 0.245, 0.347, 0.944, 16.810
SpringFramework, 15, 87, 18, 2932, 0.455, 0.147, 0.222, 0.926, 12.601
Storm, 25, 77, 19, 2931, 0.568, 0.245, 0.342, 0.941, 16.001
Tomcat, 40, 62, 27, 2923, 0.597, 0.392, 0.473, 0.944, 16.864
Zookeeper, 21, 81, 18, 2932, 0.538, 0.206, 0.298, 0.938, 15.112
