Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 32, 41, 72, 2439, 0.308, 0.438, 0.362, 0.908, 9.891
ArgoUML, 52, 21, 371, 2140, 0.123, 0.712, 0.210, 0.770, 3.351
Columba, 38, 35, 263, 2248, 0.126, 0.521, 0.203, 0.776, 3.469
EMF, 56, 17, 67, 2444, 0.455, 0.767, 0.571, 0.938, 15.116
Hibernate, 39, 34, 285, 2226, 0.120, 0.534, 0.196, 0.765, 3.261
JEdit, 43, 30, 274, 2237, 0.136, 0.589, 0.221, 0.792, 3.802
JFreeChart, 36, 37, 172, 2339, 0.173, 0.493, 0.256, 0.837, 5.126
JMeter, 35, 38, 149, 2362, 0.190, 0.479, 0.272, 0.851, 5.733
JRuby, 37, 36, 134, 2377, 0.216, 0.507, 0.303, 0.869, 6.659
SQuirrel, 38, 35, 199, 2312, 0.160, 0.521, 0.245, 0.824, 4.676
Dubbo, 21, 52, 146, 2365, 0.126, 0.288, 0.175, 0.775, 3.451
Gradle, 12, 61, 46, 2465, 0.207, 0.164, 0.183, 0.863, 6.324
Groovy, 20, 53, 89, 2422, 0.183, 0.274, 0.220, 0.846, 5.495
Hive, 37, 36, 179, 2332, 0.171, 0.507, 0.256, 0.835, 5.063
Maven, 14, 59, 193, 2318, 0.068, 0.192, 0.100, 0.582, 1.394
Poi, 33, 40, 105, 2406, 0.239, 0.452, 0.313, 0.882, 7.465
SpringFramework, 31, 42, 162, 2349, 0.161, 0.425, 0.233, 0.824, 4.686
Storm, 34, 39, 161, 2350, 0.174, 0.466, 0.254, 0.838, 5.172
Tomcat, 35, 38, 139, 2372, 0.201, 0.479, 0.283, 0.860, 6.120
Zookeeper, 25, 48, 197, 2314, 0.113, 0.342, 0.169, 0.749, 2.986
