Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 61, 140, 24, 4248, 0.718, 0.303, 0.427, 0.937, 14.970
ArgoUML, 114, 87, 58, 4214, 0.663, 0.567, 0.611, 0.932, 13.750
Columba, 117, 84, 28, 4244, 0.807, 0.582, 0.676, 0.944, 16.956
EMF, 111, 90, 41, 4231, 0.730, 0.552, 0.629, 0.938, 15.251
Hibernate, 121, 80, 61, 4211, 0.665, 0.602, 0.632, 0.932, 13.795
JEdit, 77, 124, 81, 4191, 0.487, 0.383, 0.429, 0.908, 9.845
JFreeChart, 114, 87, 57, 4215, 0.667, 0.567, 0.613, 0.933, 13.836
JMeter, 120, 81, 22, 4250, 0.845, 0.597, 0.700, 0.947, 17.806
JRuby, 131, 70, 28, 4244, 0.824, 0.652, 0.728, 0.945, 17.335
Dubbo, 65, 136, 48, 4224, 0.575, 0.323, 0.414, 0.922, 11.801
Gradle, 89, 112, 43, 4229, 0.674, 0.443, 0.535, 0.933, 14.004
Groovy, 98, 103, 16, 4256, 0.860, 0.488, 0.622, 0.948, 18.130
Hive, 110, 91, 36, 4236, 0.753, 0.547, 0.634, 0.940, 15.767
Maven, 108, 93, 80, 4192, 0.574, 0.537, 0.555, 0.922, 11.784
Poi, 118, 83, 28, 4244, 0.808, 0.587, 0.680, 0.944, 16.986
SpringFramework, 117, 84, 21, 4251, 0.848, 0.582, 0.690, 0.947, 17.867
Storm, 99, 102, 19, 4253, 0.839, 0.493, 0.621, 0.946, 17.671
Tomcat, 117, 84, 42, 4230, 0.736, 0.582, 0.650, 0.939, 15.375
Zookeeper, 90, 111, 46, 4226, 0.662, 0.448, 0.534, 0.932, 13.727
