Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 24, 60, 73, 1491, 0.247, 0.286, 0.265, 0.794, 3.854
ArgoUML, 57, 27, 185, 1379, 0.236, 0.679, 0.350, 0.784, 3.621
Columba, 62, 22, 113, 1451, 0.354, 0.738, 0.479, 0.856, 5.951
EMF, 45, 39, 111, 1453, 0.288, 0.536, 0.375, 0.823, 4.659
Hibernate, 65, 19, 149, 1415, 0.304, 0.774, 0.436, 0.832, 4.959
JEdit, 45, 39, 138, 1426, 0.246, 0.536, 0.337, 0.793, 3.824
JFreeChart, 51, 33, 67, 1497, 0.432, 0.607, 0.505, 0.882, 7.479
JMeter, 63, 21, 58, 1506, 0.521, 0.750, 0.615, 0.902, 9.215
JRuby, 47, 37, 74, 1490, 0.388, 0.560, 0.459, 0.869, 6.621
SQuirrel, 39, 45, 70, 1494, 0.358, 0.464, 0.404, 0.858, 6.020
Dubbo, 66, 18, 15, 1549, 0.815, 0.786, 0.800, 0.937, 14.986
Gradle, 11, 73, 45, 1519, 0.196, 0.131, 0.157, 0.741, 2.854
Groovy, 51, 33, 60, 1504, 0.459, 0.607, 0.523, 0.889, 8.014
Hive, 65, 19, 63, 1501, 0.508, 0.774, 0.613, 0.900, 8.963
Maven, 42, 42, 106, 1458, 0.284, 0.500, 0.362, 0.820, 4.568
Poi, 59, 25, 87, 1477, 0.404, 0.702, 0.513, 0.874, 6.928
SpringFramework, 55, 29, 49, 1515, 0.529, 0.655, 0.585, 0.904, 9.375
Storm, 62, 22, 147, 1417, 0.297, 0.738, 0.423, 0.828, 4.820
Tomcat, 56, 28, 79, 1485, 0.415, 0.667, 0.511, 0.877, 7.138
Zookeeper, 55, 29, 71, 1493, 0.437, 0.655, 0.524, 0.883, 7.564
