Training project, TP, FN, FP, TN, P, R, F1, ER, RI
ArgoUML, 29, 73, 39, 2911, 0.426, 0.284, 0.341, 0.922, 11.761
Columba, 29, 73, 30, 2920, 0.492, 0.284, 0.360, 0.932, 13.707
EMF, 21, 81, 47, 2903, 0.309, 0.206, 0.247, 0.892, 8.240
Hibernate, 36, 66, 47, 2903, 0.434, 0.353, 0.389, 0.923, 11.978
JEdit, 51, 51, 135, 2815, 0.274, 0.500, 0.354, 0.878, 7.204
JFreeChart, 33, 69, 79, 2871, 0.295, 0.324, 0.308, 0.887, 7.816
JMeter, 31, 71, 37, 2913, 0.456, 0.304, 0.365, 0.927, 12.641
JRuby, 35, 67, 20, 2930, 0.636, 0.343, 0.446, 0.947, 18.041
SQuirrel, 26, 76, 32, 2918, 0.448, 0.255, 0.325, 0.925, 12.413
Dubbo, 22, 80, 40, 2910, 0.355, 0.216, 0.268, 0.906, 9.617
Gradle, 19, 83, 32, 2918, 0.373, 0.186, 0.248, 0.910, 10.147
Groovy, 27, 75, 21, 2929, 0.563, 0.265, 0.360, 0.941, 15.831
Hive, 35, 67, 45, 2905, 0.438, 0.343, 0.385, 0.924, 12.091
Maven, 33, 69, 59, 2891, 0.359, 0.324, 0.340, 0.907, 9.733
Poi, 30, 72, 33, 2917, 0.476, 0.294, 0.364, 0.930, 13.248
SpringFramework, 23, 79, 56, 2894, 0.291, 0.225, 0.254, 0.885, 7.711
Storm, 26, 76, 46, 2904, 0.361, 0.255, 0.299, 0.907, 9.805
Tomcat, 50, 52, 43, 2907, 0.538, 0.490, 0.513, 0.938, 15.087
Zookeeper, 35, 67, 60, 2890, 0.368, 0.343, 0.355, 0.909, 10.024
