Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 143, 240, 63, 3206, 0.694, 0.373, 0.486, 0.849, 5.619
ArgoUML, 169, 214, 50, 3219, 0.772, 0.441, 0.561, 0.864, 6.358
Columba, 305, 78, 35, 3234, 0.897, 0.796, 0.844, 0.883, 7.554
EMF, 191, 192, 53, 3216, 0.783, 0.499, 0.609, 0.866, 6.464
Hibernate, 236, 147, 60, 3209, 0.797, 0.616, 0.695, 0.868, 6.602
JEdit, 181, 202, 113, 3156, 0.616, 0.473, 0.535, 0.830, 4.870
JFreeChart, 281, 102, 122, 3147, 0.697, 0.734, 0.715, 0.850, 5.649
JMeter, 224, 159, 36, 3233, 0.862, 0.585, 0.697, 0.878, 7.215
SQuirrel, 201, 182, 58, 3211, 0.776, 0.525, 0.626, 0.865, 6.400
Dubbo, 248, 135, 34, 3235, 0.879, 0.648, 0.746, 0.881, 7.386
Gradle, 118, 265, 26, 3243, 0.819, 0.308, 0.448, 0.872, 6.814
Groovy, 228, 155, 34, 3235, 0.870, 0.595, 0.707, 0.879, 7.298
Hive, 301, 82, 59, 3210, 0.836, 0.786, 0.810, 0.875, 6.973
Maven, 170, 213, 56, 3213, 0.752, 0.444, 0.558, 0.861, 6.173
Poi, 321, 62, 49, 3220, 0.868, 0.838, 0.853, 0.879, 7.272
SpringFramework, 219, 164, 34, 3235, 0.866, 0.572, 0.689, 0.879, 7.254
Storm, 214, 169, 50, 3219, 0.811, 0.559, 0.662, 0.871, 6.729
Tomcat, 317, 66, 52, 3217, 0.859, 0.828, 0.843, 0.878, 7.192
Zookeeper, 220, 163, 60, 3209, 0.786, 0.574, 0.664, 0.867, 6.492
