Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 58, 33, 301, 3246, 0.162, 0.637, 0.258, 0.845, 5.459
ArgoUML, 55, 36, 447, 3100, 0.110, 0.604, 0.185, 0.772, 3.380
Columba, 62, 29, 339, 3208, 0.155, 0.681, 0.252, 0.838, 5.181
EMF, 55, 36, 326, 3221, 0.144, 0.604, 0.233, 0.827, 4.771
Hibernate, 61, 30, 311, 3236, 0.164, 0.670, 0.263, 0.847, 5.556
JEdit, 62, 29, 416, 3131, 0.130, 0.681, 0.218, 0.807, 4.185
JFreeChart, 63, 28, 420, 3127, 0.130, 0.692, 0.220, 0.808, 4.215
JMeter, 58, 33, 234, 3313, 0.199, 0.637, 0.303, 0.874, 6.941
JRuby, 59, 32, 192, 3355, 0.235, 0.648, 0.345, 0.894, 8.397
SQuirrel, 58, 33, 310, 3237, 0.158, 0.637, 0.253, 0.841, 5.301
Dubbo, 22, 69, 200, 3347, 0.099, 0.242, 0.141, 0.748, 2.962
Gradle, 25, 66, 74, 3473, 0.253, 0.275, 0.263, 0.901, 9.095
Groovy, 36, 55, 159, 3388, 0.185, 0.396, 0.252, 0.865, 6.381
Hive, 51, 40, 125, 3422, 0.290, 0.560, 0.382, 0.914, 10.585
Maven, 27, 64, 256, 3291, 0.095, 0.297, 0.144, 0.738, 2.814
Poi, 53, 38, 264, 3283, 0.167, 0.582, 0.260, 0.850, 5.684
SpringFramework, 56, 35, 215, 3332, 0.207, 0.615, 0.309, 0.879, 7.261
Storm, 74, 17, 177, 3370, 0.295, 0.813, 0.433, 0.915, 10.786
Tomcat, 58, 33, 212, 3335, 0.215, 0.637, 0.321, 0.884, 7.588
Zookeeper, 53, 38, 292, 3255, 0.154, 0.582, 0.243, 0.837, 5.142
