Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 39, 45, 84, 1480, 0.317, 0.464, 0.377, 0.839, 5.221
ArgoUML, 57, 27, 185, 1379, 0.236, 0.679, 0.350, 0.784, 3.621
Columba, 64, 20, 128, 1436, 0.333, 0.762, 0.464, 0.847, 5.540
EMF, 43, 41, 102, 1462, 0.297, 0.512, 0.376, 0.828, 4.818
Hibernate, 65, 19, 149, 1415, 0.304, 0.774, 0.436, 0.832, 4.959
JEdit, 48, 36, 105, 1459, 0.314, 0.571, 0.405, 0.838, 5.155
JFreeChart, 51, 33, 120, 1444, 0.298, 0.607, 0.400, 0.829, 4.851
JMeter, 62, 22, 51, 1513, 0.549, 0.738, 0.629, 0.907, 9.764
JRuby, 47, 37, 74, 1490, 0.388, 0.560, 0.459, 0.869, 6.621
SQuirrel, 40, 44, 101, 1463, 0.284, 0.476, 0.356, 0.820, 4.566
Dubbo, 64, 20, 33, 1531, 0.660, 0.762, 0.707, 0.923, 11.945
Gradle, 11, 73, 45, 1519, 0.196, 0.131, 0.157, 0.741, 2.854
Groovy, 49, 35, 70, 1494, 0.412, 0.583, 0.483, 0.876, 7.078
Hive, 65, 19, 97, 1467, 0.401, 0.774, 0.528, 0.873, 6.872
Maven, 42, 42, 106, 1458, 0.284, 0.500, 0.362, 0.820, 4.568
Poi, 63, 21, 124, 1440, 0.337, 0.750, 0.465, 0.849, 5.610
SpringFramework, 58, 26, 91, 1473, 0.389, 0.690, 0.498, 0.869, 6.637
Storm, 62, 22, 166, 1398, 0.272, 0.738, 0.397, 0.813, 4.335
Tomcat, 59, 25, 99, 1465, 0.373, 0.702, 0.488, 0.864, 6.326
Zookeeper, 57, 27, 129, 1435, 0.306, 0.679, 0.422, 0.834, 5.012
