Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 28, 46, 48, 2463, 0.368, 0.378, 0.373, 0.922, 11.870
ArgoUML, 22, 52, 35, 2476, 0.386, 0.297, 0.336, 0.926, 12.483
Columba, 26, 48, 26, 2485, 0.500, 0.351, 0.413, 0.943, 16.466
Hibernate, 24, 50, 48, 2463, 0.333, 0.324, 0.329, 0.914, 10.644
JEdit, 33, 41, 139, 2372, 0.192, 0.446, 0.268, 0.851, 5.702
JFreeChart, 32, 42, 80, 2431, 0.286, 0.432, 0.344, 0.900, 8.981
JMeter, 29, 45, 14, 2497, 0.674, 0.392, 0.496, 0.958, 22.559
JRuby, 28, 46, 18, 2493, 0.609, 0.378, 0.467, 0.953, 20.263
SQuirrel, 28, 46, 40, 2471, 0.412, 0.378, 0.394, 0.930, 13.384
Dubbo, 24, 50, 35, 2476, 0.407, 0.324, 0.361, 0.930, 13.210
Gradle, 25, 49, 33, 2478, 0.431, 0.338, 0.379, 0.934, 14.057
Groovy, 25, 49, 16, 2495, 0.610, 0.338, 0.435, 0.953, 20.300
Hive, 28, 46, 35, 2476, 0.444, 0.378, 0.409, 0.936, 14.526
Maven, 23, 51, 64, 2447, 0.264, 0.311, 0.286, 0.892, 8.235
Poi, 26, 48, 19, 2492, 0.578, 0.351, 0.437, 0.950, 19.183
SpringFramework, 24, 50, 11, 2500, 0.686, 0.324, 0.440, 0.958, 22.954
Storm, 27, 47, 59, 2452, 0.314, 0.365, 0.338, 0.909, 9.967
Tomcat, 29, 45, 33, 2478, 0.468, 0.392, 0.426, 0.939, 15.339
Zookeeper, 28, 46, 40, 2471, 0.412, 0.378, 0.394, 0.930, 13.384
