Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 70, 66, 28, 1055, 0.714, 0.515, 0.598, 0.844, 5.402
ArgoUML, 85, 51, 47, 1036, 0.644, 0.625, 0.634, 0.827, 4.772
Columba, 95, 41, 44, 1039, 0.683, 0.699, 0.691, 0.837, 5.126
EMF, 90, 46, 41, 1042, 0.687, 0.662, 0.674, 0.838, 5.158
Hibernate, 94, 42, 52, 1031, 0.644, 0.691, 0.667, 0.827, 4.771
JEdit, 89, 47, 80, 1003, 0.527, 0.654, 0.584, 0.788, 3.720
JFreeChart, 93, 43, 50, 1033, 0.650, 0.684, 0.667, 0.828, 4.829
JMeter, 87, 49, 34, 1049, 0.719, 0.640, 0.677, 0.845, 5.445
JRuby, 93, 43, 42, 1041, 0.689, 0.684, 0.686, 0.838, 5.175
SQuirrel, 99, 37, 49, 1034, 0.669, 0.728, 0.697, 0.833, 4.996
Dubbo, 76, 60, 26, 1057, 0.745, 0.559, 0.639, 0.850, 5.678
Gradle, 78, 58, 23, 1060, 0.772, 0.574, 0.658, 0.856, 5.922
Groovy, 83, 53, 37, 1046, 0.692, 0.610, 0.648, 0.839, 5.200
Hive, 89, 47, 45, 1038, 0.664, 0.654, 0.659, 0.832, 4.953
Poi, 95, 41, 41, 1042, 0.699, 0.699, 0.699, 0.840, 5.261
SpringFramework, 83, 53, 33, 1050, 0.716, 0.610, 0.659, 0.844, 5.413
Storm, 78, 58, 34, 1049, 0.696, 0.574, 0.629, 0.840, 5.242
Tomcat, 89, 47, 42, 1041, 0.679, 0.654, 0.667, 0.836, 5.090
Zookeeper, 79, 57, 38, 1045, 0.675, 0.581, 0.625, 0.835, 5.052
