Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 31, 60, 273, 3274, 0.102, 0.341, 0.157, 0.755, 3.077
ArgoUML, 55, 36, 447, 3100, 0.110, 0.604, 0.185, 0.772, 3.380
Columba, 67, 24, 426, 3121, 0.136, 0.736, 0.229, 0.816, 4.433
EMF, 55, 36, 320, 3227, 0.147, 0.604, 0.236, 0.829, 4.863
Hibernate, 61, 30, 311, 3236, 0.164, 0.670, 0.263, 0.847, 5.556
JEdit, 68, 23, 466, 3081, 0.127, 0.747, 0.218, 0.804, 4.091
JFreeChart, 62, 29, 431, 3116, 0.126, 0.681, 0.212, 0.801, 4.028
JMeter, 65, 26, 237, 3310, 0.215, 0.714, 0.331, 0.884, 7.605
JRuby, 57, 34, 225, 3322, 0.202, 0.626, 0.306, 0.876, 7.081
SQuirrel, 61, 30, 393, 3154, 0.134, 0.670, 0.224, 0.814, 4.371
Dubbo, 30, 61, 252, 3295, 0.106, 0.330, 0.161, 0.765, 3.253
Gradle, 33, 58, 125, 3422, 0.209, 0.363, 0.265, 0.880, 7.350
Groovy, 38, 53, 240, 3307, 0.137, 0.418, 0.206, 0.817, 4.465
Hive, 55, 36, 200, 3347, 0.216, 0.604, 0.318, 0.884, 7.623
Maven, 33, 58, 336, 3211, 0.089, 0.363, 0.143, 0.720, 2.575
Poi, 51, 40, 263, 3284, 0.162, 0.560, 0.252, 0.846, 5.493
SpringFramework, 47, 44, 271, 3276, 0.148, 0.516, 0.230, 0.831, 4.909
Storm, 68, 23, 169, 3378, 0.287, 0.747, 0.415, 0.913, 10.470
Tomcat, 57, 34, 169, 3378, 0.252, 0.626, 0.360, 0.901, 9.083
Zookeeper, 62, 29, 299, 3248, 0.172, 0.681, 0.274, 0.854, 5.866
