Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 254, 714, 329, 4128, 0.436, 0.262, 0.328, 0.590, 1.442
ArgoUML, 782, 186, 329, 4128, 0.704, 0.808, 0.752, 0.746, 2.945
Columba, 869, 99, 594, 3863, 0.594, 0.898, 0.715, 0.700, 2.329
EMF, 865, 103, 451, 4006, 0.657, 0.894, 0.757, 0.729, 2.684
Hibernate, 728, 240, 397, 4060, 0.647, 0.752, 0.696, 0.724, 2.627
JEdit, 907, 61, 561, 3896, 0.618, 0.937, 0.745, 0.711, 2.463
JFreeChart, 760, 208, 534, 3923, 0.587, 0.785, 0.672, 0.696, 2.292
JMeter, 779, 189, 362, 4095, 0.683, 0.805, 0.739, 0.739, 2.826
JRuby, 700, 268, 348, 4109, 0.668, 0.723, 0.694, 0.733, 2.743
SQuirrel, 857, 111, 502, 3955, 0.631, 0.885, 0.737, 0.717, 2.534
Dubbo, 308, 660, 363, 4094, 0.459, 0.318, 0.376, 0.611, 1.572
Gradle, 279, 689, 204, 4253, 0.578, 0.288, 0.385, 0.691, 2.237
Groovy, 488, 480, 327, 4130, 0.599, 0.504, 0.547, 0.702, 2.356
Hive, 770, 198, 439, 4018, 0.637, 0.795, 0.707, 0.720, 2.569
Maven, 327, 641, 415, 4042, 0.441, 0.338, 0.382, 0.595, 1.470
Poi, 740, 228, 444, 4013, 0.625, 0.764, 0.688, 0.715, 2.503
SpringFramework, 625, 343, 417, 4040, 0.600, 0.646, 0.622, 0.703, 2.362
Storm, 547, 421, 382, 4075, 0.589, 0.565, 0.577, 0.697, 2.300
Tomcat, 758, 210, 420, 4037, 0.643, 0.783, 0.706, 0.723, 2.606
Zookeeper, 851, 117, 652, 3805, 0.566, 0.879, 0.689, 0.685, 2.173
