Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 50, 41, 213, 3334, 0.190, 0.549, 0.282, 0.868, 6.600
ArgoUML, 55, 36, 447, 3100, 0.110, 0.604, 0.185, 0.772, 3.380
Columba, 57, 34, 408, 3139, 0.123, 0.626, 0.205, 0.796, 3.901
EMF, 58, 33, 355, 3192, 0.140, 0.637, 0.230, 0.822, 4.614
Hibernate, 61, 30, 311, 3236, 0.164, 0.670, 0.263, 0.847, 5.556
JEdit, 63, 28, 421, 3126, 0.130, 0.692, 0.219, 0.808, 4.204
JFreeChart, 57, 34, 300, 3247, 0.160, 0.626, 0.254, 0.843, 5.383
JMeter, 59, 32, 173, 3374, 0.254, 0.648, 0.365, 0.902, 9.167
JRuby, 59, 32, 192, 3355, 0.235, 0.648, 0.345, 0.894, 8.397
SQuirrel, 53, 38, 264, 3283, 0.167, 0.582, 0.260, 0.850, 5.684
Dubbo, 24, 67, 181, 3366, 0.117, 0.264, 0.162, 0.786, 3.680
Gradle, 25, 66, 74, 3473, 0.253, 0.275, 0.263, 0.901, 9.095
Groovy, 28, 63, 188, 3359, 0.130, 0.308, 0.182, 0.807, 4.182
Hive, 54, 37, 210, 3337, 0.205, 0.593, 0.304, 0.878, 7.177
Maven, 27, 64, 256, 3291, 0.095, 0.297, 0.144, 0.738, 2.814
Poi, 50, 41, 240, 3307, 0.172, 0.549, 0.262, 0.855, 5.893
SpringFramework, 54, 37, 207, 3340, 0.207, 0.593, 0.307, 0.879, 7.271
Storm, 73, 18, 128, 3419, 0.363, 0.802, 0.500, 0.931, 13.519
Tomcat, 53, 38, 145, 3402, 0.268, 0.582, 0.367, 0.907, 9.701
Zookeeper, 60, 31, 236, 3311, 0.203, 0.659, 0.310, 0.877, 7.104
