Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 720, 248, 297, 4160, 0.708, 0.744, 0.725, 0.748, 2.968
ArgoUML, 782, 186, 329, 4128, 0.704, 0.808, 0.752, 0.746, 2.945
Columba, 733, 235, 508, 3949, 0.591, 0.757, 0.664, 0.698, 2.310
EMF, 842, 126, 370, 4087, 0.695, 0.870, 0.772, 0.743, 2.893
Hibernate, 728, 240, 397, 4060, 0.647, 0.752, 0.696, 0.724, 2.627
JEdit, 810, 158, 470, 3987, 0.633, 0.837, 0.721, 0.718, 2.546
JFreeChart, 756, 212, 400, 4057, 0.654, 0.781, 0.712, 0.727, 2.665
JMeter, 723, 245, 301, 4156, 0.706, 0.747, 0.726, 0.747, 2.957
JRuby, 701, 267, 391, 4066, 0.642, 0.724, 0.681, 0.722, 2.598
SQuirrel, 729, 239, 362, 4095, 0.668, 0.753, 0.708, 0.733, 2.745
Dubbo, 256, 712, 218, 4239, 0.540, 0.264, 0.355, 0.670, 2.027
Gradle, 198, 770, 141, 4316, 0.584, 0.205, 0.303, 0.695, 2.273
Groovy, 308, 660, 197, 4260, 0.610, 0.318, 0.418, 0.707, 2.418
Hive, 700, 268, 308, 4149, 0.694, 0.723, 0.709, 0.743, 2.892
Maven, 281, 687, 283, 4174, 0.498, 0.290, 0.367, 0.642, 1.792
Poi, 642, 326, 341, 4116, 0.653, 0.663, 0.658, 0.727, 2.660
SpringFramework, 633, 335, 344, 4113, 0.648, 0.654, 0.651, 0.725, 2.631
Storm, 746, 222, 372, 4085, 0.667, 0.771, 0.715, 0.733, 2.740
Tomcat, 684, 284, 407, 4050, 0.627, 0.707, 0.664, 0.715, 2.514
Zookeeper, 638, 330, 331, 4126, 0.658, 0.659, 0.659, 0.729, 2.690
