Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 34, 50, 105, 1459, 0.245, 0.405, 0.305, 0.792, 3.799
ArgoUML, 57, 27, 185, 1379, 0.236, 0.679, 0.350, 0.784, 3.621
Columba, 66, 18, 214, 1350, 0.236, 0.786, 0.363, 0.784, 3.624
EMF, 47, 37, 124, 1440, 0.275, 0.560, 0.369, 0.815, 4.392
Hibernate, 65, 19, 149, 1415, 0.304, 0.774, 0.436, 0.832, 4.959
JEdit, 53, 31, 171, 1393, 0.237, 0.631, 0.344, 0.785, 3.642
JFreeChart, 39, 45, 133, 1431, 0.227, 0.464, 0.305, 0.775, 3.449
JMeter, 65, 19, 71, 1493, 0.478, 0.774, 0.591, 0.893, 8.377
JRuby, 58, 26, 108, 1456, 0.349, 0.690, 0.464, 0.854, 5.855
SQuirrel, 48, 36, 121, 1443, 0.284, 0.571, 0.379, 0.821, 4.572
Dubbo, 58, 26, 54, 1510, 0.518, 0.690, 0.592, 0.902, 9.160
Gradle, 19, 65, 59, 1505, 0.244, 0.226, 0.235, 0.791, 3.779
Groovy, 52, 32, 106, 1458, 0.329, 0.619, 0.430, 0.845, 5.457
Hive, 67, 17, 135, 1429, 0.332, 0.798, 0.469, 0.846, 5.507
Maven, 44, 40, 94, 1470, 0.319, 0.524, 0.396, 0.840, 5.255
Poi, 67, 17, 130, 1434, 0.340, 0.798, 0.477, 0.850, 5.672
SpringFramework, 61, 23, 118, 1446, 0.341, 0.726, 0.464, 0.850, 5.686
Storm, 62, 22, 125, 1439, 0.332, 0.738, 0.458, 0.846, 5.505
Tomcat, 70, 14, 126, 1438, 0.357, 0.833, 0.500, 0.857, 6.007
Zookeeper, 39, 45, 142, 1422, 0.215, 0.464, 0.294, 0.763, 3.227
