Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 121, 262, 36, 3233, 0.771, 0.316, 0.448, 0.864, 6.349
ArgoUML, 169, 214, 50, 3219, 0.772, 0.441, 0.561, 0.864, 6.358
Columba, 298, 85, 32, 3237, 0.903, 0.778, 0.836, 0.884, 7.611
EMF, 178, 205, 44, 3225, 0.802, 0.465, 0.588, 0.869, 6.645
Hibernate, 236, 147, 60, 3209, 0.797, 0.616, 0.695, 0.868, 6.602
JEdit, 153, 230, 78, 3191, 0.662, 0.399, 0.498, 0.842, 5.316
JFreeChart, 262, 121, 78, 3191, 0.771, 0.684, 0.725, 0.864, 6.348
JMeter, 213, 170, 29, 3240, 0.880, 0.556, 0.682, 0.881, 7.393
SQuirrel, 190, 193, 38, 3231, 0.833, 0.496, 0.622, 0.874, 6.946
Dubbo, 209, 174, 24, 3245, 0.897, 0.546, 0.679, 0.883, 7.553
Gradle, 119, 264, 29, 3240, 0.804, 0.311, 0.448, 0.870, 6.667
Groovy, 198, 185, 21, 3248, 0.904, 0.517, 0.658, 0.884, 7.621
Hive, 293, 90, 46, 3223, 0.864, 0.765, 0.812, 0.879, 7.241
Maven, 170, 213, 56, 3213, 0.752, 0.444, 0.558, 0.861, 6.173
Poi, 288, 95, 35, 3234, 0.892, 0.752, 0.816, 0.882, 7.502
SpringFramework, 193, 190, 29, 3240, 0.869, 0.504, 0.638, 0.879, 7.290
Storm, 199, 184, 29, 3240, 0.873, 0.520, 0.651, 0.880, 7.322
Tomcat, 282, 101, 47, 3222, 0.857, 0.736, 0.792, 0.878, 7.173
Zookeeper, 199, 184, 49, 3220, 0.802, 0.520, 0.631, 0.869, 6.651
