Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 53, 44, 329, 7285, 0.139, 0.546, 0.221, 0.909, 10.029
ArgoUML, 51, 46, 1167, 6447, 0.042, 0.526, 0.078, 0.700, 2.329
Columba, 67, 30, 852, 6762, 0.073, 0.691, 0.132, 0.827, 4.796
EMF, 73, 24, 637, 6977, 0.103, 0.753, 0.181, 0.878, 7.173
Hibernate, 70, 27, 424, 7190, 0.142, 0.722, 0.237, 0.911, 10.264
JEdit, 71, 26, 730, 6884, 0.089, 0.732, 0.158, 0.858, 6.046
JFreeChart, 65, 32, 702, 6912, 0.085, 0.670, 0.150, 0.852, 5.737
JMeter, 59, 38, 363, 7251, 0.140, 0.608, 0.227, 0.910, 10.114
JRuby, 63, 34, 453, 7161, 0.122, 0.649, 0.206, 0.897, 8.706
SQuirrel, 67, 30, 647, 6967, 0.094, 0.691, 0.165, 0.866, 6.460
Dubbo, 42, 55, 461, 7153, 0.083, 0.433, 0.140, 0.849, 5.638
Gradle, 17, 80, 204, 7410, 0.077, 0.175, 0.107, 0.836, 5.115
Groovy, 48, 49, 260, 7354, 0.156, 0.495, 0.237, 0.919, 11.389
Hive, 58, 39, 405, 7209, 0.125, 0.598, 0.207, 0.900, 8.958
Maven, 35, 62, 622, 6992, 0.053, 0.361, 0.093, 0.764, 3.235
Poi, 61, 36, 461, 7153, 0.117, 0.629, 0.197, 0.892, 8.290
SpringFramework, 83, 14, 228, 7386, 0.267, 0.856, 0.407, 0.953, 20.216
Storm, 61, 36, 408, 7206, 0.130, 0.629, 0.216, 0.903, 9.339
Tomcat, 62, 35, 350, 7264, 0.150, 0.639, 0.244, 0.916, 10.963
Zookeeper, 57, 40, 331, 7283, 0.147, 0.588, 0.235, 0.914, 10.678
