Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 70, 124, 170, 4279, 0.292, 0.361, 0.323, 0.857, 5.980
ArgoUML, 108, 86, 320, 4129, 0.252, 0.557, 0.347, 0.834, 5.039
Columba, 93, 101, 251, 4198, 0.270, 0.479, 0.346, 0.845, 5.470
EMF, 62, 132, 244, 4205, 0.203, 0.320, 0.248, 0.794, 3.849
Hibernate, 87, 107, 179, 4270, 0.327, 0.448, 0.378, 0.872, 6.828
JEdit, 154, 40, 186, 4263, 0.453, 0.794, 0.577, 0.908, 9.840
JFreeChart, 91, 103, 335, 4114, 0.214, 0.469, 0.294, 0.804, 4.112
JMeter, 61, 133, 124, 4325, 0.330, 0.314, 0.322, 0.873, 6.891
JRuby, 96, 98, 136, 4313, 0.414, 0.495, 0.451, 0.899, 8.903
SQuirrel, 97, 97, 198, 4251, 0.329, 0.500, 0.397, 0.873, 6.869
Dubbo, 63, 131, 206, 4243, 0.234, 0.325, 0.272, 0.822, 4.605
Gradle, 42, 152, 60, 4389, 0.412, 0.216, 0.284, 0.899, 8.855
Groovy, 58, 136, 133, 4316, 0.304, 0.299, 0.301, 0.862, 6.268
Hive, 112, 82, 157, 4292, 0.416, 0.577, 0.484, 0.900, 8.965
Maven, 51, 143, 173, 4276, 0.228, 0.263, 0.244, 0.816, 4.449
Poi, 84, 110, 410, 4039, 0.170, 0.433, 0.244, 0.754, 3.070
SpringFramework, 71, 123, 205, 4244, 0.257, 0.366, 0.302, 0.838, 5.157
Storm, 61, 133, 244, 4205, 0.200, 0.314, 0.244, 0.791, 3.787
Tomcat, 99, 95, 213, 4236, 0.317, 0.510, 0.391, 0.868, 6.594
Zookeeper, 61, 133, 205, 4244, 0.229, 0.314, 0.265, 0.818, 4.488
