Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 43, 41, 91, 1473, 0.321, 0.512, 0.394, 0.841, 5.296
ArgoUML, 57, 27, 185, 1379, 0.236, 0.679, 0.350, 0.784, 3.621
Columba, 65, 19, 131, 1433, 0.332, 0.774, 0.464, 0.846, 5.506
EMF, 45, 39, 143, 1421, 0.239, 0.536, 0.331, 0.787, 3.696
Hibernate, 65, 19, 149, 1415, 0.304, 0.774, 0.436, 0.832, 4.959
JEdit, 51, 33, 122, 1442, 0.295, 0.607, 0.397, 0.827, 4.784
JFreeChart, 42, 42, 166, 1398, 0.202, 0.500, 0.288, 0.748, 2.962
JMeter, 58, 26, 66, 1498, 0.468, 0.690, 0.558, 0.891, 8.177
JRuby, 46, 38, 62, 1502, 0.426, 0.548, 0.479, 0.880, 7.356
SQuirrel, 44, 40, 96, 1468, 0.314, 0.524, 0.393, 0.838, 5.166
Dubbo, 67, 17, 52, 1512, 0.563, 0.798, 0.660, 0.909, 10.046
Gradle, 19, 65, 57, 1507, 0.250, 0.226, 0.237, 0.796, 3.905
Groovy, 49, 35, 111, 1453, 0.306, 0.583, 0.402, 0.834, 5.008
Hive, 65, 19, 85, 1479, 0.433, 0.774, 0.556, 0.882, 7.502
Maven, 42, 42, 106, 1458, 0.284, 0.500, 0.362, 0.820, 4.568
Poi, 64, 20, 119, 1445, 0.350, 0.762, 0.479, 0.854, 5.861
SpringFramework, 56, 28, 109, 1455, 0.339, 0.667, 0.450, 0.850, 5.659
Storm, 56, 28, 181, 1383, 0.236, 0.667, 0.349, 0.784, 3.636
Tomcat, 67, 17, 143, 1421, 0.319, 0.798, 0.456, 0.840, 5.259
Zookeeper, 60, 24, 118, 1446, 0.337, 0.714, 0.458, 0.849, 5.613
