Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 67, 134, 37, 4235, 0.644, 0.333, 0.439, 0.930, 13.337
ArgoUML, 114, 87, 58, 4214, 0.663, 0.567, 0.611, 0.932, 13.750
Columba, 117, 84, 33, 4239, 0.780, 0.582, 0.667, 0.942, 16.358
EMF, 121, 80, 50, 4222, 0.708, 0.602, 0.651, 0.936, 14.747
Hibernate, 121, 80, 61, 4211, 0.665, 0.602, 0.632, 0.932, 13.795
JEdit, 83, 118, 104, 4168, 0.444, 0.413, 0.428, 0.899, 8.877
JFreeChart, 115, 86, 78, 4194, 0.596, 0.572, 0.584, 0.925, 12.260
JMeter, 120, 81, 22, 4250, 0.845, 0.597, 0.700, 0.947, 17.806
JRuby, 131, 70, 28, 4244, 0.824, 0.652, 0.728, 0.945, 17.335
Dubbo, 85, 116, 51, 4221, 0.625, 0.423, 0.504, 0.928, 12.909
Gradle, 89, 112, 43, 4229, 0.674, 0.443, 0.535, 0.933, 14.004
Groovy, 100, 101, 16, 4256, 0.862, 0.498, 0.631, 0.948, 18.184
Hive, 107, 94, 39, 4233, 0.733, 0.532, 0.617, 0.939, 15.309
Maven, 108, 93, 80, 4192, 0.574, 0.537, 0.555, 0.922, 11.784
Poi, 123, 78, 38, 4234, 0.764, 0.612, 0.680, 0.941, 16.001
SpringFramework, 120, 81, 25, 4247, 0.828, 0.597, 0.694, 0.946, 17.417
Storm, 112, 89, 29, 4243, 0.794, 0.557, 0.655, 0.943, 16.677
Tomcat, 115, 86, 51, 4221, 0.693, 0.572, 0.627, 0.935, 14.417
Zookeeper, 104, 97, 22, 4250, 0.825, 0.517, 0.636, 0.946, 17.368
