Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 53, 47, 122, 2271, 0.303, 0.530, 0.385, 0.868, 6.550
ArgoUML, 76, 24, 287, 2106, 0.209, 0.760, 0.328, 0.808, 4.220
Columba, 74, 26, 174, 2219, 0.298, 0.740, 0.425, 0.866, 6.439
EMF, 53, 47, 60, 2333, 0.469, 0.530, 0.498, 0.914, 10.693
Hibernate, 77, 23, 132, 2261, 0.368, 0.770, 0.498, 0.891, 8.185
JEdit, 59, 41, 125, 2268, 0.321, 0.590, 0.415, 0.875, 6.994
JFreeChart, 85, 15, 57, 2336, 0.599, 0.850, 0.702, 0.933, 13.923
JMeter, 75, 25, 110, 2283, 0.405, 0.750, 0.526, 0.901, 9.107
JRuby, 76, 24, 117, 2276, 0.394, 0.760, 0.519, 0.898, 8.817
SQuirrel, 56, 44, 91, 2302, 0.381, 0.560, 0.453, 0.895, 8.497
Dubbo, 54, 46, 99, 2294, 0.353, 0.540, 0.427, 0.886, 7.799
Gradle, 22, 78, 42, 2351, 0.344, 0.220, 0.268, 0.883, 7.570
Groovy, 57, 43, 103, 2290, 0.356, 0.570, 0.438, 0.887, 7.881
Hive, 82, 18, 228, 2165, 0.265, 0.820, 0.400, 0.848, 5.594
Maven, 46, 54, 139, 2254, 0.249, 0.460, 0.323, 0.839, 5.199
Poi, 70, 30, 127, 2266, 0.355, 0.700, 0.471, 0.887, 7.858
SpringFramework, 72, 28, 86, 2307, 0.456, 0.720, 0.558, 0.912, 10.361
Storm, 67, 33, 233, 2160, 0.223, 0.670, 0.335, 0.820, 4.568
Tomcat, 73, 27, 261, 2132, 0.219, 0.730, 0.336, 0.816, 4.449
Zookeeper, 69, 31, 161, 2232, 0.300, 0.690, 0.418, 0.866, 6.479
