Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 81, 120, 59, 4213, 0.579, 0.403, 0.475, 0.922, 11.875
ArgoUML, 114, 87, 58, 4214, 0.663, 0.567, 0.611, 0.932, 13.750
Columba, 126, 75, 49, 4223, 0.720, 0.627, 0.670, 0.938, 15.023
EMF, 120, 81, 53, 4219, 0.694, 0.597, 0.642, 0.935, 14.436
Hibernate, 121, 80, 61, 4211, 0.665, 0.602, 0.632, 0.932, 13.795
JEdit, 98, 103, 136, 4136, 0.419, 0.488, 0.451, 0.893, 8.320
JFreeChart, 121, 80, 68, 4204, 0.640, 0.602, 0.621, 0.930, 13.247
JMeter, 123, 78, 23, 4249, 0.842, 0.612, 0.709, 0.947, 17.748
JRuby, 131, 70, 28, 4244, 0.824, 0.652, 0.728, 0.945, 17.335
Dubbo, 78, 123, 61, 4211, 0.561, 0.388, 0.459, 0.920, 11.488
Gradle, 89, 112, 43, 4229, 0.674, 0.443, 0.535, 0.933, 14.004
Groovy, 111, 90, 28, 4244, 0.799, 0.552, 0.653, 0.944, 16.771
Hive, 118, 83, 44, 4228, 0.728, 0.587, 0.650, 0.938, 15.210
Maven, 108, 93, 80, 4192, 0.574, 0.537, 0.555, 0.922, 11.784
Poi, 128, 73, 49, 4223, 0.723, 0.637, 0.677, 0.938, 15.093
SpringFramework, 123, 78, 50, 4222, 0.711, 0.612, 0.658, 0.937, 14.822
Storm, 112, 89, 43, 4229, 0.723, 0.557, 0.629, 0.938, 15.080
Tomcat, 123, 78, 65, 4207, 0.654, 0.612, 0.632, 0.931, 13.560
Zookeeper, 109, 92, 66, 4206, 0.623, 0.542, 0.580, 0.928, 12.861
