Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 76, 60, 38, 1045, 0.667, 0.559, 0.608, 0.833, 4.975
ArgoUML, 85, 51, 47, 1036, 0.644, 0.625, 0.634, 0.827, 4.772
Columba, 94, 42, 41, 1042, 0.696, 0.691, 0.694, 0.840, 5.241
EMF, 90, 46, 39, 1044, 0.698, 0.662, 0.679, 0.840, 5.253
Hibernate, 94, 42, 52, 1031, 0.644, 0.691, 0.667, 0.827, 4.771
JEdit, 86, 50, 92, 991, 0.483, 0.632, 0.548, 0.769, 3.331
JFreeChart, 104, 32, 60, 1023, 0.634, 0.765, 0.693, 0.824, 4.684
JMeter, 89, 47, 37, 1046, 0.706, 0.654, 0.679, 0.842, 5.331
JRuby, 93, 43, 42, 1041, 0.689, 0.684, 0.686, 0.838, 5.175
SQuirrel, 98, 38, 52, 1031, 0.653, 0.721, 0.685, 0.829, 4.856
Dubbo, 66, 70, 19, 1064, 0.776, 0.485, 0.597, 0.856, 5.960
Gradle, 78, 58, 23, 1060, 0.772, 0.574, 0.658, 0.856, 5.922
Groovy, 84, 52, 33, 1050, 0.718, 0.618, 0.664, 0.845, 5.435
Hive, 89, 47, 47, 1036, 0.654, 0.654, 0.654, 0.830, 4.866
Poi, 96, 40, 44, 1039, 0.686, 0.706, 0.696, 0.837, 5.146
SpringFramework, 85, 51, 37, 1046, 0.697, 0.625, 0.659, 0.840, 5.245
Storm, 86, 50, 44, 1039, 0.662, 0.632, 0.647, 0.831, 4.930
Tomcat, 91, 45, 45, 1038, 0.669, 0.669, 0.669, 0.833, 4.997
Zookeeper, 92, 44, 44, 1039, 0.676, 0.676, 0.676, 0.835, 5.063
