Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 49, 48, 355, 7259, 0.121, 0.505, 0.196, 0.896, 8.642
ArgoUML, 51, 46, 1167, 6447, 0.042, 0.526, 0.078, 0.700, 2.329
Columba, 69, 28, 739, 6875, 0.085, 0.711, 0.152, 0.853, 5.789
EMF, 68, 29, 613, 7001, 0.100, 0.701, 0.175, 0.874, 6.938
Hibernate, 70, 27, 424, 7190, 0.142, 0.722, 0.237, 0.911, 10.264
JEdit, 67, 30, 634, 6980, 0.096, 0.691, 0.168, 0.868, 6.598
JFreeChart, 59, 38, 480, 7134, 0.109, 0.608, 0.186, 0.885, 7.702
JMeter, 59, 38, 363, 7251, 0.140, 0.608, 0.227, 0.910, 10.114
JRuby, 63, 34, 453, 7161, 0.122, 0.649, 0.206, 0.897, 8.706
SQuirrel, 70, 27, 610, 7004, 0.103, 0.722, 0.180, 0.878, 7.183
Dubbo, 30, 67, 493, 7121, 0.057, 0.309, 0.097, 0.781, 3.560
Gradle, 17, 80, 204, 7410, 0.077, 0.175, 0.107, 0.836, 5.115
Groovy, 48, 49, 264, 7350, 0.154, 0.495, 0.235, 0.918, 11.230
Hive, 57, 40, 383, 7231, 0.130, 0.588, 0.212, 0.903, 9.298
Maven, 35, 62, 622, 6992, 0.053, 0.361, 0.093, 0.764, 3.235
Poi, 62, 35, 479, 7135, 0.115, 0.639, 0.194, 0.890, 8.110
SpringFramework, 81, 16, 295, 7319, 0.215, 0.835, 0.342, 0.942, 16.125
Storm, 61, 36, 357, 7257, 0.146, 0.629, 0.237, 0.914, 10.601
Tomcat, 56, 41, 463, 7151, 0.108, 0.577, 0.182, 0.883, 7.577
Zookeeper, 52, 45, 681, 6933, 0.071, 0.536, 0.125, 0.823, 4.639
