Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 46, 54, 83, 2310, 0.357, 0.460, 0.402, 0.888, 7.890
ArgoUML, 76, 24, 287, 2106, 0.209, 0.760, 0.328, 0.808, 4.220
Columba, 74, 26, 186, 2207, 0.285, 0.740, 0.411, 0.859, 6.095
EMF, 55, 45, 69, 2324, 0.444, 0.550, 0.491, 0.910, 10.058
Hibernate, 77, 23, 132, 2261, 0.368, 0.770, 0.498, 0.891, 8.185
JEdit, 57, 43, 149, 2244, 0.277, 0.570, 0.373, 0.855, 5.898
JFreeChart, 86, 14, 52, 2341, 0.623, 0.860, 0.723, 0.936, 14.536
JMeter, 75, 25, 110, 2283, 0.405, 0.750, 0.526, 0.901, 9.107
JRuby, 76, 24, 117, 2276, 0.394, 0.760, 0.519, 0.898, 8.817
SQuirrel, 54, 46, 138, 2255, 0.281, 0.540, 0.370, 0.857, 6.012
Dubbo, 41, 59, 102, 2291, 0.287, 0.410, 0.337, 0.860, 6.148
Gradle, 22, 78, 42, 2351, 0.344, 0.220, 0.268, 0.883, 7.570
Groovy, 60, 40, 79, 2314, 0.432, 0.600, 0.502, 0.907, 9.761
Hive, 82, 18, 204, 2189, 0.287, 0.820, 0.425, 0.860, 6.148
Maven, 46, 54, 139, 2254, 0.249, 0.460, 0.323, 0.839, 5.199
Poi, 74, 26, 94, 2299, 0.440, 0.740, 0.552, 0.909, 9.981
SpringFramework, 69, 31, 154, 2239, 0.309, 0.690, 0.427, 0.870, 6.714
Storm, 70, 30, 221, 2172, 0.241, 0.700, 0.358, 0.833, 4.997
Tomcat, 75, 25, 234, 2159, 0.243, 0.750, 0.367, 0.835, 5.051
Zookeeper, 73, 27, 155, 2238, 0.320, 0.730, 0.445, 0.875, 6.982
