Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 69, 125, 201, 4248, 0.256, 0.356, 0.297, 0.837, 5.116
ArgoUML, 108, 86, 320, 4129, 0.252, 0.557, 0.347, 0.834, 5.039
Columba, 91, 103, 236, 4213, 0.278, 0.469, 0.349, 0.850, 5.660
EMF, 66, 128, 233, 4216, 0.221, 0.340, 0.268, 0.811, 4.283
Hibernate, 87, 107, 179, 4270, 0.327, 0.448, 0.378, 0.872, 6.828
JEdit, 154, 40, 153, 4296, 0.502, 0.794, 0.615, 0.917, 11.005
JFreeChart, 71, 123, 211, 4238, 0.252, 0.366, 0.298, 0.834, 5.026
JMeter, 61, 133, 137, 4312, 0.308, 0.314, 0.311, 0.864, 6.373
JRuby, 97, 97, 134, 4315, 0.420, 0.500, 0.456, 0.900, 9.050
SQuirrel, 84, 110, 133, 4316, 0.387, 0.433, 0.409, 0.892, 8.264
Dubbo, 40, 154, 169, 4280, 0.191, 0.206, 0.199, 0.782, 3.580
Gradle, 42, 152, 41, 4408, 0.506, 0.216, 0.303, 0.917, 11.111
Groovy, 55, 139, 100, 4349, 0.355, 0.284, 0.315, 0.882, 7.492
Hive, 103, 91, 159, 4290, 0.393, 0.531, 0.452, 0.894, 8.409
Maven, 51, 143, 173, 4276, 0.228, 0.263, 0.244, 0.816, 4.449
Poi, 71, 123, 171, 4278, 0.293, 0.366, 0.326, 0.858, 6.022
SpringFramework, 63, 131, 142, 4307, 0.307, 0.325, 0.316, 0.864, 6.355
Storm, 74, 120, 452, 3997, 0.141, 0.381, 0.206, 0.703, 2.367
Tomcat, 88, 106, 210, 4239, 0.295, 0.454, 0.358, 0.859, 6.067
Zookeeper, 72, 122, 198, 4251, 0.267, 0.371, 0.310, 0.843, 5.382
