Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 836, 132, 400, 4057, 0.676, 0.864, 0.759, 0.736, 2.791
ArgoUML, 782, 186, 329, 4128, 0.704, 0.808, 0.752, 0.746, 2.945
Columba, 725, 243, 480, 3977, 0.602, 0.749, 0.667, 0.703, 2.372
EMF, 893, 75, 449, 4008, 0.665, 0.923, 0.773, 0.732, 2.729
Hibernate, 728, 240, 397, 4060, 0.647, 0.752, 0.696, 0.724, 2.627
JEdit, 900, 68, 433, 4024, 0.675, 0.930, 0.782, 0.736, 2.784
JFreeChart, 816, 152, 432, 4025, 0.654, 0.843, 0.736, 0.727, 2.664
JMeter, 741, 227, 341, 4116, 0.685, 0.765, 0.723, 0.739, 2.838
JRuby, 701, 267, 391, 4066, 0.642, 0.724, 0.681, 0.722, 2.598
SQuirrel, 814, 154, 397, 4060, 0.672, 0.841, 0.747, 0.735, 2.767
Dubbo, 419, 549, 308, 4149, 0.576, 0.433, 0.494, 0.690, 2.230
Gradle, 198, 770, 141, 4316, 0.584, 0.205, 0.303, 0.695, 2.273
Groovy, 411, 557, 232, 4225, 0.639, 0.425, 0.510, 0.721, 2.582
Hive, 730, 238, 353, 4104, 0.674, 0.754, 0.712, 0.735, 2.778
Maven, 281, 687, 283, 4174, 0.498, 0.290, 0.367, 0.642, 1.792
Poi, 696, 272, 368, 4089, 0.654, 0.719, 0.685, 0.727, 2.666
SpringFramework, 454, 514, 351, 4106, 0.564, 0.469, 0.512, 0.684, 2.161
Storm, 667, 301, 401, 4056, 0.625, 0.689, 0.655, 0.714, 2.500
Tomcat, 743, 225, 482, 3975, 0.607, 0.768, 0.678, 0.706, 2.399
Zookeeper, 537, 431, 378, 4079, 0.587, 0.555, 0.570, 0.696, 2.289
