Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 29, 44, 87, 2424, 0.250, 0.397, 0.307, 0.887, 7.849
ArgoUML, 52, 21, 371, 2140, 0.123, 0.712, 0.210, 0.770, 3.351
Columba, 41, 32, 210, 2301, 0.163, 0.562, 0.253, 0.827, 4.782
EMF, 68, 5, 67, 2444, 0.504, 0.932, 0.654, 0.944, 16.830
Hibernate, 39, 34, 285, 2226, 0.120, 0.534, 0.196, 0.765, 3.261
JEdit, 40, 33, 296, 2215, 0.119, 0.548, 0.196, 0.763, 3.214
JFreeChart, 36, 37, 194, 2317, 0.157, 0.493, 0.238, 0.820, 4.540
JMeter, 37, 36, 142, 2369, 0.207, 0.507, 0.294, 0.863, 6.317
JRuby, 37, 36, 134, 2377, 0.216, 0.507, 0.303, 0.869, 6.659
SQuirrel, 34, 39, 224, 2287, 0.132, 0.466, 0.205, 0.786, 3.665
Dubbo, 26, 47, 201, 2310, 0.115, 0.356, 0.173, 0.753, 3.054
Gradle, 12, 61, 46, 2465, 0.207, 0.164, 0.183, 0.863, 6.324
Groovy, 23, 50, 73, 2438, 0.240, 0.315, 0.272, 0.882, 7.481
Hive, 39, 34, 203, 2308, 0.161, 0.534, 0.248, 0.825, 4.705
Maven, 14, 59, 193, 2318, 0.068, 0.192, 0.100, 0.582, 1.394
Poi, 38, 35, 157, 2354, 0.195, 0.521, 0.284, 0.855, 5.898
SpringFramework, 29, 44, 220, 2291, 0.116, 0.397, 0.180, 0.757, 3.123
Storm, 38, 35, 252, 2259, 0.131, 0.521, 0.209, 0.784, 3.638
Tomcat, 40, 33, 168, 2343, 0.192, 0.548, 0.285, 0.853, 5.807
Zookeeper, 30, 43, 227, 2284, 0.117, 0.411, 0.182, 0.758, 3.132
