Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 68, 29, 432, 7182, 0.136, 0.701, 0.228, 0.908, 9.811
ArgoUML, 51, 46, 1167, 6447, 0.042, 0.526, 0.078, 0.700, 2.329
Columba, 73, 24, 876, 6738, 0.077, 0.753, 0.140, 0.836, 5.115
EMF, 67, 30, 512, 7102, 0.116, 0.691, 0.198, 0.891, 8.199
Hibernate, 70, 27, 424, 7190, 0.142, 0.722, 0.237, 0.911, 10.264
JEdit, 78, 19, 878, 6736, 0.082, 0.804, 0.148, 0.846, 5.486
JFreeChart, 64, 33, 829, 6785, 0.072, 0.660, 0.129, 0.824, 4.697
JMeter, 62, 35, 426, 7188, 0.127, 0.639, 0.212, 0.901, 9.100
JRuby, 63, 34, 453, 7161, 0.122, 0.649, 0.206, 0.897, 8.706
SQuirrel, 69, 28, 655, 6959, 0.095, 0.711, 0.168, 0.868, 6.576
Dubbo, 43, 54, 479, 7135, 0.082, 0.443, 0.139, 0.847, 5.548
Gradle, 17, 80, 204, 7410, 0.077, 0.175, 0.107, 0.836, 5.115
Groovy, 45, 52, 351, 7263, 0.114, 0.464, 0.183, 0.889, 8.034
Hive, 60, 37, 464, 7150, 0.115, 0.619, 0.193, 0.890, 8.102
Maven, 35, 62, 622, 6992, 0.053, 0.361, 0.093, 0.764, 3.235
Poi, 70, 27, 753, 6861, 0.085, 0.722, 0.152, 0.852, 5.761
SpringFramework, 80, 17, 399, 7215, 0.167, 0.825, 0.278, 0.925, 12.277
Storm, 62, 35, 663, 6951, 0.086, 0.639, 0.151, 0.853, 5.798
Tomcat, 65, 32, 499, 7115, 0.115, 0.670, 0.197, 0.891, 8.162
Zookeeper, 56, 41, 590, 7024, 0.087, 0.577, 0.151, 0.855, 5.891
