Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 135, 248, 41, 3228, 0.767, 0.352, 0.483, 0.863, 6.314
ArgoUML, 169, 214, 50, 3219, 0.772, 0.441, 0.561, 0.864, 6.358
Columba, 303, 80, 33, 3236, 0.902, 0.791, 0.843, 0.884, 7.599
EMF, 182, 201, 35, 3234, 0.839, 0.475, 0.607, 0.875, 6.997
Hibernate, 236, 147, 60, 3209, 0.797, 0.616, 0.695, 0.868, 6.602
JEdit, 155, 228, 84, 3185, 0.649, 0.405, 0.498, 0.838, 5.184
JFreeChart, 286, 97, 103, 3166, 0.735, 0.747, 0.741, 0.857, 6.010
JMeter, 213, 170, 29, 3240, 0.880, 0.556, 0.682, 0.881, 7.393
SQuirrel, 185, 198, 46, 3223, 0.801, 0.483, 0.603, 0.869, 6.636
Dubbo, 211, 172, 25, 3244, 0.894, 0.551, 0.682, 0.883, 7.525
Gradle, 119, 264, 29, 3240, 0.804, 0.311, 0.448, 0.870, 6.667
Groovy, 192, 191, 23, 3246, 0.893, 0.501, 0.642, 0.883, 7.515
Hive, 280, 103, 47, 3222, 0.856, 0.731, 0.789, 0.878, 7.165
Maven, 170, 213, 56, 3213, 0.752, 0.444, 0.558, 0.861, 6.173
Poi, 308, 75, 42, 3227, 0.880, 0.804, 0.840, 0.881, 7.391
SpringFramework, 205, 178, 30, 3239, 0.872, 0.535, 0.663, 0.880, 7.318
Storm, 204, 179, 35, 3234, 0.854, 0.533, 0.656, 0.877, 7.139
Tomcat, 294, 89, 38, 3231, 0.886, 0.768, 0.822, 0.882, 7.444
Zookeeper, 197, 186, 55, 3214, 0.782, 0.514, 0.620, 0.866, 6.454
