Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 124, 125, 99, 4087, 0.556, 0.498, 0.525, 0.899, 8.904
ArgoUML, 161, 88, 141, 4045, 0.533, 0.647, 0.584, 0.895, 8.495
Columba, 187, 62, 73, 4113, 0.719, 0.751, 0.735, 0.922, 11.810
EMF, 172, 77, 100, 4086, 0.632, 0.691, 0.660, 0.911, 10.263
Hibernate, 193, 56, 109, 4077, 0.639, 0.775, 0.701, 0.912, 10.383
JEdit, 130, 119, 162, 4024, 0.445, 0.522, 0.481, 0.874, 6.930
JFreeChart, 178, 71, 171, 4015, 0.510, 0.715, 0.595, 0.890, 8.084
JMeter, 186, 63, 74, 4112, 0.715, 0.747, 0.731, 0.922, 11.742
JRuby, 202, 47, 96, 4090, 0.678, 0.811, 0.739, 0.917, 11.073
SQuirrel, 196, 53, 113, 4073, 0.634, 0.787, 0.703, 0.911, 10.298
Dubbo, 132, 117, 50, 4136, 0.725, 0.530, 0.613, 0.923, 11.918
Gradle, 133, 116, 68, 4118, 0.662, 0.534, 0.591, 0.915, 10.786
Hive, 195, 54, 97, 4089, 0.668, 0.783, 0.721, 0.916, 10.894
Maven, 141, 108, 132, 4054, 0.516, 0.566, 0.540, 0.891, 8.199
Poi, 194, 55, 79, 4107, 0.711, 0.779, 0.743, 0.921, 11.657
SpringFramework, 181, 68, 72, 4114, 0.715, 0.727, 0.721, 0.922, 11.742
Storm, 193, 56, 93, 4093, 0.675, 0.775, 0.721, 0.917, 11.019
Tomcat, 169, 80, 65, 4121, 0.722, 0.679, 0.700, 0.922, 11.864
Zookeeper, 150, 99, 74, 4112, 0.670, 0.602, 0.634, 0.916, 10.927
