Training project, TP, FN, FP, TN, P, R, F1, ER, RI
ArgoUML, 29, 73, 39, 2911, 0.426, 0.284, 0.341, 0.922, 11.761
Columba, 23, 79, 9, 2941, 0.719, 0.225, 0.343, 0.954, 20.506
EMF, 18, 84, 16, 2934, 0.529, 0.176, 0.265, 0.937, 14.841
Hibernate, 36, 66, 47, 2903, 0.434, 0.353, 0.389, 0.923, 11.978
JEdit, 32, 70, 54, 2896, 0.372, 0.314, 0.340, 0.910, 10.134
JFreeChart, 26, 76, 45, 2905, 0.366, 0.255, 0.301, 0.909, 9.957
JMeter, 25, 77, 17, 2933, 0.595, 0.245, 0.347, 0.944, 16.810
JRuby, 35, 67, 15, 2935, 0.700, 0.343, 0.461, 0.952, 19.945
SQuirrel, 20, 82, 11, 2939, 0.645, 0.196, 0.301, 0.948, 18.304
Dubbo, 13, 89, 15, 2935, 0.464, 0.127, 0.200, 0.928, 12.892
Gradle, 16, 86, 22, 2928, 0.421, 0.157, 0.229, 0.921, 11.599
Groovy, 20, 82, 9, 2941, 0.690, 0.196, 0.305, 0.952, 19.636
Hive, 28, 74, 18, 2932, 0.609, 0.275, 0.378, 0.945, 17.213
Maven, 30, 72, 45, 2905, 0.400, 0.294, 0.339, 0.916, 10.969
Poi, 24, 78, 19, 2931, 0.558, 0.235, 0.331, 0.940, 15.700
SpringFramework, 16, 86, 14, 2936, 0.533, 0.157, 0.242, 0.937, 14.958
Storm, 23, 79, 15, 2935, 0.605, 0.225, 0.329, 0.945, 17.110
Tomcat, 35, 67, 26, 2924, 0.574, 0.343, 0.429, 0.942, 16.168
Zookeeper, 27, 75, 25, 2925, 0.519, 0.265, 0.351, 0.936, 14.536
